HierarchyLevel,ParentCode,DefectCode,DefectName,DefaultSeverityId,SortOrder,Description
1,,ADH,Adhesion,,10,Loss of bond between finish and substrate or between layers (including weak-boundary-layer driven delamination).
1,,TEX,Surface Texture,,20,"Nonconforming surface texture or flow/leveling appearance (runs, orange peel, roughness)."
1,,CON,Contamination & Inclusions,,30,"Foreign matter or surface-energy contamination causing defects (particles, fisheyes, embedded objects)."
1,,APP,Color & Appearance,,40,"Visual attributes out of spec (color/shade, gloss/reflectivity, mottling/uneven appearance)."
1,,COV,Coverage & Film Build,,50,"Coating/plating/anodize thickness or continuity out of spec (thin, bare/skip, heavy)."
1,,CUR,Cure & Film Formation,,60,"Cure/bake/film-formation problems in organic coatings (soft, brittle, wrinkled)."
1,,BLS,Blistering & Porosity,,70,"Bubbles, pinholes, porosity, or blistering (solvent pop, osmotic)."
1,,COR,Corrosion,,80,"Corrosion products or underfilm corrosion mechanisms (red rust, white corrosion, filiform/creep)."
1,,DAM,Damage & Substrate Integrity,,90,"Physical damage or base-material integrity issues (scratches, rack marks, cracking)."
1,,MAS,Masking & Dimensional,,100,"Keep-out zone protection failures (overspray, masking failure, plugged features)."
1,,SPC,Specialty Finishing,,110,"Electrochemical/mechanical finishing-specific surface conditions (burn/over-etch, pits, swirl/buff lines)."
1,,DOC,Identification & Documentation,,120,Labeling/traceability/documentation defects affecting product identification and shipment integrity.
2,ADH,ADH-SUB,Substrate Adhesion Failure (Peel to Base),7,1,"Finish lifts/peels to bare substrate (or plating lifts to base), including loss of bond at the substrate interface."
2,APP,APP-COL,Color Mismatch / Wrong Shade,6,1,"Color not within approved standard/tolerance (wrong paint lot, dye mismatch, shade drift, incorrect mix)."
2,BLS,BLS-SOL,Solvent Pop / Microblistering,5,1,"Microblisters or ""pops"" from trapped volatiles/solvent/water flashing during bake or cure."
2,CON,CON-FIS,Fisheye / Cratering (Surface Tension),4,1,Crater/fisheye defects driven by low-surface-energy contamination (silicone/oil/soap) or incompatible residues causing dewetting.
2,COR,COR-RUS,Red Rust / Rust Through,8,1,"Ferrous corrosion visible (red rust, rust-through, rust staining) indicating protection failure or bare exposure."
2,COV,COV-THN,Low Film Build / Light Coverage,6,1,"Insufficient thickness/coverage versus spec (e.g., light coverage in functional area; underbuild on edges/complex geometry)."
2,CUR,CUR-UND,Undercure / Soft Film,6,1,"Insufficient cure/bake/crosslinking (soft, tacky, poor solvent resistance, poor durability)."
2,DAM,DAM-SCR,Scratch / Abrasion Damage,5,1,"Linear scratches, scuffs, abrasion marks, or rub-through damage from handling, conveyance, or rework."
2,DOC,DOC-LBL,Mislabelled / Incorrect Label,7,1,"Wrong label information (part number, quantity, customer, revision, lot) or label applied to the wrong container/part."
2,MAS,MAS-OVR,Overspray / Blowby,5,1,"Unwanted spray deposition outside intended area (overspray haze, blowby, fogging onto adjacent surfaces)."
2,SPC,SPC-BRN,Electrochemical Burn / Over-Etch,6,1,"Burning/over-etch appearance from current density/chemistry imbalance (anodize burn, electropolish burn, plating burn)."
2,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,3,1,"Wavy, pebbled ""orange peel"" texture from poor flow/leveling, viscosity/atomization, or film-build/gel effects."
2,ADH,ADH-INT,Intercoat Delamination (Between Layers),7,2,"Delamination between coating layers (e.g., e-coat to topcoat, primer to topcoat, clear to base) with intact substrate bond."
2,APP,APP-GLS,Gloss / Reflectivity Out of Spec,4,2,"Gloss, sheen, or reflectivity nonconformance (too dull/too glossy; includes brightness nonuniformity on polished/plated finishes when specified)."
2,BLS,BLS-OSM,Osmotic Blistering,7,2,"Blistering driven by soluble salts/solutes and moisture migration (osmotic mechanism), often leading to underfilm corrosion risk."
2,CON,CON-DST,Dirt / Dust / Particulate Contamination,3,2,"Visible particulate contamination on/in the finish (dust nibs, lint, smut/particulates in specialty finishing) that causes rejects or rework."
2,COR,COR-WHT,White Corrosion (Zn/Al),6,2,White corrosion products on zinc/aluminum/galvanized substrates (white rust/oxide) under or adjacent to finish.
2,COV,COV-BAR,Bare Spot / Holiday / Skip Area,7,2,"Uncoated/undercoated area (miss, holiday, skip in electrochemical processes, poor electrical contact causing ""skip"")."
2,CUR,CUR-OVR,Overcure / Brittleness / Yellowing,5,2,"Excessive cure/overbake causing brittleness, discoloration/yellowing, loss of flexibility, or premature cracking/chipping."
2,DAM,DAM-RCK,Rack / Hanger / Contact Marks,4,2,"Contact marks from racking/fixturing/hangers (bare spots, contact scars, clamp marks) visible after processing."
2,DOC,DOC-TRC,Traceability / Documentation Error,6,2,"Missing/incorrect traceability or documentation (missing labels, incorrect travelers/pack slips, lot/date/shift data missing)."
2,MAS,MAS-MSK,Masking Failure (Keep-Out Zone Coated),6,2,"Paint/finish enters a keep-out zone due to masking failure or misapplication (tape lift, poor seal, wrong mask placement)."
2,SPC,SPC-PIT,Electrochemical Pitting / Etch Defect,7,2,"Pits/nodules/etch defects specific to electrochemical finishing (acid pits in anodize, electropolish pitting, plating pits/nodules)."
2,TEX,TEX-SAG,Runs / Sags / Curtains,3,2,"Gravity flow defects: runs, sags, curtains, or drip marks (including drain marks on immersion-coated parts)."
2,ADH,ADH-EDG,Edge/Localized Adhesion Loss,6,3,"Localized edge lift, corner pullback with adhesion loss, or small-area delamination typically driven by poor prep, coverage, or boundary layer at edges."
2,APP,APP-MOT,Mottling / Uneven Appearance,4,3,"Uneven appearance (mottle, patchiness, metallic orientation issues, striping) visible under normal viewing conditions."
2,BLS,BLS-PIN,Pinholes / Porosity,6,3,"Pinholes or porosity through the film (outgassing, air entrapment, contamination, or inadequate flow-out) that compromises protection/appearance."
2,CON,CON-FOI,Foreign Object Inclusion (Embedded),8,3,"Foreign material physically present on the part (embedded in finish or attached) such as metal chips, magnets, fibers, grit, or other inclusions."
2,COR,COR-FIL,Filiform / Underfilm Corrosion (Creep),7,3,"Filiform/creep/undercut corrosion mechanisms under organic films (often starting at defects, edges, or scribes)."
2,COV,COV-THK,Excessive Film Build / Heavy Coat,4,3,"Thickness exceeds spec (heavy coat, excessive buildup, plating too thick) leading to fit issues, cure/flow defects, or appearance problems."
2,CUR,CUR-WRN,Wrinkling / Alligatoring,4,3,"Wrinkled or ""alligator"" surface from film-formation imbalance (skin-over, solvent entrapment, incorrect bake profile, incompatible recoats)."
2,DAM,DAM-CRK,Substrate Crack / Fracture (Material),7,3,"Base material cracking/fracture (e.g., flange cracking) identified during or after finishing; not caused by coating chemistry."
2,MAS,MAS-PLG,Plugged Hole / Thread / Feature Blockage,6,3,Blocked holes/threads/features due to coating buildup or plug failure (functional nonconformance).
2,SPC,SPC-SWL,Swirl Marks / Buff Lines (Mechanical),3,3,Visible swirl/buff lines or directional finishing marks on mechanically finished surfaces outside visual standard.
2,TEX,TEX-DRY,Rough / Dry Spray / Powdery Texture,4,3,"Rough, sandy, or powdery texture from dry spray, poor melt/flow, low atomization energy, or insufficient wetting/leveling."
