cluster_id,document_number,relative_path,is_obsolete,last_modified_utc,revision_note,cluster_confidence
30,8.2.2.4.2,8.2.2.4 Shipping Forms/8.2.2.4.2 P2 General Pack Slip Template.xls,False,2024-01-02T19:57:32Z,CURRENT,LOW
31,8.2.2.4.4,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.4 102 Line Loaded Parts Tracking.xlsx,True,2024-01-08T18:53:36Z,OBSOLETE/SUPERSEDED,LOW
31,8.2.2.4.4,8.2.2.4 Shipping Forms/8.2.2.4.4 P2 Monthly Totals Template.xlsx,False,2023-11-29T16:08:36Z,CURRENT,LOW
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,False,2026-02-17T14:12:11Z,CURRENT,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 BMW Inspection.xlsx,True,2023-10-26T12:07:48Z,OBSOLETE/SUPERSEDED,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 Rollstamp BMW G07 Inspection(V2).xlsx,True,2024-09-04T20:13:54Z,OBSOLETE/SUPERSEDED,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,True,2023-12-15T16:49:19Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla REVISED.xlsx,True,2024-05-10T18:54:12Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla.xlsx,True,2023-01-02T19:11:52Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,Obsolete/Old Forms/8.2.2.2.41 Tesla Inspection old.xlsx,True,2022-10-20T11:49:15Z,OBSOLETE/SUPERSEDED,HIGH
34,8.2.2.2.42,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection revised.xlsx,True,2023-06-09T14:19:57Z,OBSOLETE/SUPERSEDED,HIGH
34,8.2.2.2.42,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection.xlsx,True,2023-01-02T19:15:57Z,OBSOLETE/SUPERSEDED,HIGH
35,8.2.2.2.24,8.2.2.3 Production Forms by Customer/8.2.2.3.3 Mytox/Obsolete/8.2.2.2.24 Mytox - Buff Inspect.xls,True,2023-06-09T11:19:20Z,OBSOLETE/SUPERSEDED,HIGH
35,8.2.2.2.24,Obsolete/Old Forms/8.2.2.2.24 Mytox - U22X Buff Inspect.xls,True,2017-08-14T20:30:28Z,OBSOLETE/SUPERSEDED,HIGH
36,8.2.2.3.4.1,8.2.2.3 Production Forms by Customer/8.2.2.3.4 Laval Tool/8.2.2.3.4.1 Laval Tool Inspection.xlsx,False,2024-09-04T20:19:00Z,CURRENT,HIGH
36,8.2.2.3.4.1,8.2.2.3 Production Forms by Customer/8.2.2.3.4 Laval Tool/Obsolete/8.2.2.3.4.1 Laval Tool Inspection.xlsx,True,2024-05-10T19:08:52Z,OBSOLETE/SUPERSEDED,HIGH
37,8.2.2.3.5.1,8.2.2.3 Production Forms by Customer/8.2.2.3.5 Metelix/8.2.2.3.5.1 Metelix Inspection.xlsx,False,2025-01-31T14:34:15Z,CURRENT,HIGH
37,8.2.2.3.5.1,8.2.2.3 Production Forms by Customer/8.2.2.3.5 Metelix/Obsolete/8.2.2.3.5.1 Metelix Inspection.xlsx,True,2024-12-05T17:48:25Z,OBSOLETE/SUPERSEDED,HIGH
38,8.2.2.3.5.4,8.2.2.3 Production Forms by Customer/8.2.2.3.5 Metelix/8.2.2.3.5.4 Metelix Hummer Painted Inspection.xlsx,False,2026-02-10T12:29:19Z,CURRENT,HIGH
38,8.2.2.3.5.4,8.2.2.3 Production Forms by Customer/8.2.2.3.5 Metelix/Obsolete/8.2.2.3.5.4 Metelix Hummer Painted Inspection.xlsx,True,2024-11-26T14:19:43Z,OBSOLETE/SUPERSEDED,HIGH
39,8.2.2.3.6.1,8.2.2.3 Production Forms by Customer/8.2.2.3.6 KB Components/8.2.2.3.6.1 KB Components Inspection Sheet.xlsx,False,2026-01-30T14:47:20Z,CURRENT,HIGH
39,8.2.2.3.6.1,8.2.2.3 Production Forms by Customer/8.2.2.3.6 KB Components/Obsolete/8.2.2.3.6.1 KB Components Inspection Sheet.xlsx,True,2025-04-23T19:23:28Z,OBSOLETE/SUPERSEDED,HIGH
40,8.2.2.3.7.2,8.2.2.3 Production Forms by Customer/8.2.2.3.7 Polycon/8.2.2.3.7.2 Tesla Inspection.xlsx,False,2026-01-08T15:27:21Z,CURRENT,HIGH
40,8.2.2.3.7.2,8.2.2.3 Production Forms by Customer/8.2.2.3.7 Polycon/Obsolete/8.2.2.3.7.2 Tesla Inspection.xlsx,True,2025-04-23T17:56:15Z,OBSOLETE/SUPERSEDED,HIGH
41,8.2.2.3.1.1,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.1 Spyder Buff Inspect.xlsx,True,2024-05-10T19:35:05Z,OBSOLETE/SUPERSEDED,HIGH
41,8.2.2.3.1.1,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.1 Spyder Buff Inspect.xls,True,2023-08-25T20:18:12Z,OBSOLETE/SUPERSEDED,HIGH
41,8.2.2.3.1.1,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.1 Spyder Buff Inspect.xlsx,True,2024-01-02T14:22:58Z,OBSOLETE/SUPERSEDED,HIGH
42,8.2.2.3.1.2,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.2 Spyder - Deep Black.xlsx,True,2024-09-04T20:00:01Z,OBSOLETE/SUPERSEDED,HIGH
42,8.2.2.3.1.2,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.2 Spyder - Deep Black(v2).xlsx,True,2024-04-30T17:38:14Z,OBSOLETE/SUPERSEDED,HIGH
42,8.2.2.3.1.2,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.2 Spyder - Deep Black.xlsx,True,2023-12-20T01:15:27Z,OBSOLETE/SUPERSEDED,HIGH
43,8.2.2.3.1.3,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.3 Spyder Vegas White.xlsx,True,2025-04-01T12:19:52Z,OBSOLETE/SUPERSEDED,HIGH
43,8.2.2.3.1.3,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.3 Spyder Vegas White(v2).xlsx,True,2023-08-25T19:51:48Z,OBSOLETE/SUPERSEDED,HIGH
44,8.2.2.3.1.4,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.4 Spyder - Hyper Silver.xlsx,True,2024-09-04T20:06:01Z,OBSOLETE/SUPERSEDED,HIGH
44,8.2.2.3.1.4,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.4 Spyder - Hyper Silver(v2).xlsx,True,2023-08-25T19:58:28Z,OBSOLETE/SUPERSEDED,HIGH
45,8.2.2.3.1.5,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.5 Spyder - Satin Vegas White.xlsx,True,2023-12-21T19:07:25Z,OBSOLETE/SUPERSEDED,HIGH
45,8.2.2.3.1.5,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/8.2.2.3.1.5 Spyder- British Green.xlsx,True,2024-09-04T20:08:07Z,OBSOLETE/SUPERSEDED,HIGH
45,8.2.2.3.1.5,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.3.1.5 Spyder- British Green .xlsx,True,2024-04-26T19:49:09Z,OBSOLETE/SUPERSEDED,HIGH
46,8.2.2.2.19,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.2.19 Spyder Vegas White.xlsx,True,2022-02-17T12:33:53Z,OBSOLETE/SUPERSEDED,HIGH
46,8.2.2.2.19,Obsolete/Old Forms/8.2.2.2.19 Spyder Vegas White RT.xls,True,2018-11-21T15:55:45Z,OBSOLETE/SUPERSEDED,HIGH
47,8.2.2.4.1,8.2.2.4 Shipping Forms/8.2.2.4.1 P2 Receiving Log Blank Template.xlsx,False,2024-01-02T19:41:59Z,CURRENT,LOW
47,8.2.2.4.1,Obsolete/8.2.2.4.1 102 Line Load Sheet.xls,True,2017-04-26T16:32:16Z,OBSOLETE/SUPERSEDED,LOW
48,8.2.2.4.11,8.2.2.4 Shipping Forms/8.2.2.4.11 Mytox Packslip Template.xlsx,False,2025-11-10T18:38:24Z,CURRENT,HIGH
48,8.2.2.4.11,Obsolete/8.2.2.4.11 Mytox Packslip Template.xlsx,True,2023-07-18T17:14:54Z,OBSOLETE/SUPERSEDED,HIGH
48,8.2.2.4.11,Obsolete/8.2.2.4.11Line 102 Programs.xlsx,True,2022-03-16T16:13:43Z,OBSOLETE/SUPERSEDED,HIGH
49,8.2.2.4.14,8.2.2.4 Shipping Forms/8.2.2.4.14 Laval Tool Packslip Template.xlsx,False,2025-11-10T18:36:40Z,CURRENT,HIGH
49,8.2.2.4.14,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.14 Laval Tool Packslip Template.xlsx,True,2023-11-30T14:56:34Z,OBSOLETE/SUPERSEDED,HIGH
50,8.2.2.4.3,8.2.2.4 Shipping Forms/8.2.2.4.3 P2 Daily Shipping Report Template.xlsx,False,2025-01-16T15:42:36Z,CURRENT,HIGH
50,8.2.2.4.3,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.3 P2 Daily Shipping Report Template 1_16_25.xlsx,True,2024-01-04T21:07:28Z,OBSOLETE/SUPERSEDED,HIGH
50,8.2.2.4.3,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.3 P2 Daily Shipping Report Template.xlsx,True,2023-07-18T12:49:07Z,OBSOLETE/SUPERSEDED,HIGH
50,8.2.2.4.3,Obsolete/8.2.2.4.3 102 Booth Cleaning Log.xls,True,2016-10-08T14:17:32Z,OBSOLETE/SUPERSEDED,HIGH
51,8.2.2.4.5,8.2.2.4 Shipping Forms/8.2.2.4.5 P2 Monthly Delivery Performance Template .xlsx,False,2026-01-14T19:39:11Z,CURRENT,HIGH
51,8.2.2.4.5,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.5 Monthly Delivery Performance Template.xlsx,True,2023-06-07T15:40:53Z,OBSOLETE/SUPERSEDED,HIGH
51,8.2.2.4.5,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.5 P2 Monthly Delivery Performance Template.xlsx,True,2023-11-29T16:27:53Z,OBSOLETE/SUPERSEDED,HIGH
51,8.2.2.4.5,Obsolete/8.2.2.4.5 Line 102 Cure  Log.xls,True,2018-06-06T14:31:12Z,OBSOLETE/SUPERSEDED,HIGH
52,8.2.2.4.9,8.2.2.4 Shipping Forms/8.2.2.4.9 Metelix Packslip Template.xlsx,False,2025-10-07T12:16:35Z,CURRENT,HIGH
52,8.2.2.4.9,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.9 Metelix Packslip Template V2.xlsx,True,2024-08-19T18:11:20Z,OBSOLETE/SUPERSEDED,HIGH
52,8.2.2.4.9,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.9 Metelix Packslip Template.xlsx,True,2024-01-02T17:58:09Z,OBSOLETE/SUPERSEDED,HIGH
52,8.2.2.4.9,Obsolete/8.2.2.4.9 Jomi Traveler.xlsx,True,2021-05-20T11:16:54Z,OBSOLETE/SUPERSEDED,HIGH
53,8.2.2.4.16,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.16 BRP Packing Slip Blank Template V2.xlsx,True,2024-03-06T18:37:24Z,OBSOLETE/SUPERSEDED,HIGH
53,8.2.2.4.16,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.16 BRP Packing Slip Blank Template v3.xlsx,True,2024-10-17T14:20:27Z,OBSOLETE/SUPERSEDED,HIGH
53,8.2.2.4.16,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.16 BRP Packing Slip Blank Template.xlsx,True,2024-03-06T18:38:07Z,OBSOLETE/SUPERSEDED,HIGH
54,8.2.2.4.6,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.6 Dometic Marine Canada (Sea Star) Packslip Template.xls,True,2024-01-02T19:04:27Z,OBSOLETE/SUPERSEDED,LOW
54,8.2.2.4.6,Obsolete/8.2.2.4.6 line 102 Oven And line speed Verification Log.xls,True,2017-04-10T16:57:03Z,OBSOLETE/SUPERSEDED,LOW
55,8.2.2.4.7,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.7 Falcon Lakeside Packslip Template.xls,True,2024-01-02T17:55:22Z,OBSOLETE/SUPERSEDED,LOW
55,8.2.2.4.7,Obsolete/8.2.2.4.7 102 Line Shut Down Check List.xlsx.xls,True,2018-07-10T12:13:11Z,OBSOLETE/SUPERSEDED,LOW
56,8.2.2.4.8,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.8 Manterra Packslip Template.xlsx,True,2024-06-11T13:26:44Z,OBSOLETE/SUPERSEDED,LOW
56,8.2.2.4.8,Obsolete/8.2.2.4.8 102 LINE PAINT TRACKING SHEET.xlsx,True,2021-10-01T12:48:05Z,OBSOLETE/SUPERSEDED,LOW
57,8.2.2.1.21,Obsolete/8.2.2.1.21 Daily Deburring Tally Sheet.xlsx,True,2022-12-17T13:47:49Z,OBSOLETE/SUPERSEDED,MEDIUM
57,8.2.2.1.21,Obsolete/8.2.2.1.21 Daily Sanding Tally Sheet 102 Line.xlsx,True,2019-06-25T12:47:41Z,OBSOLETE/SUPERSEDED,MEDIUM
58,8.5.2.41,Obsolete/8.5.2.41 SPYDER Master Part List 2021 REVISED.xls,True,2021-10-08T17:33:27Z,OBSOLETE/SUPERSEDED,HIGH
58,8.5.2.41,Obsolete/8.5.2.41 SPYDER Master Part List 2021.xls,True,2021-02-11T16:47:09Z,OBSOLETE/SUPERSEDED,HIGH
