relative_path,document_number,filename,category,line,customer,file_type,parse_status,last_modified_utc,size_kb,sheet_count,is_obsolete,included_in_zip,requires_separate_upload,is_stale,platform_entity_map,mapping_confidence
8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,8.2.2.10,8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,POST-PAINT OPERATIONS,General,,xlsx,Readable,2023-08-16T20:10:34Z,11.3,1,False,True,False,True,,
8.2.2.11 Finished GoodsPartial.xlsx,8.2.2.11,8.2.2.11 Finished GoodsPartial.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2023-07-28T20:01:17Z,11.2,1,False,True,False,True,,
8.2.2.12 Hold Tag.xlsx,8.2.2.12,8.2.2.12 Hold Tag.xlsx,NCR / DISPOSITION,General,,xlsx,Readable,2023-07-28T20:12:24Z,11.3,1,False,True,False,True,,
8.2.2.13 Hold For Review.xlsx,8.2.2.13,8.2.2.13 Hold For Review.xlsx,NCR / DISPOSITION,General,,xlsx,Readable,2023-07-28T20:13:40Z,11.2,1,False,True,False,True,,
8.2.2.14 Partial Raw.xlsx,8.2.2.14,8.2.2.14 Partial Raw.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2023-07-28T20:03:13Z,11.2,1,False,True,False,True,,
8.2.2.15 Rework- To Be Sanded.xlsx,8.2.2.15,8.2.2.15 Rework- To Be Sanded.xlsx,POST-PAINT OPERATIONS,General,,xlsx,Readable,2023-07-28T20:04:39Z,11.2,1,False,True,False,True,,
8.2.2.16 To Be Buffed.xlsx,8.2.2.16,8.2.2.16 To Be Buffed.xlsx,POST-PAINT OPERATIONS,General,,xlsx,Readable,2023-07-28T20:06:12Z,11.2,1,False,True,False,True,,
8.2.2.17 Booth Sludge.xlsx,8.2.2.17,8.2.2.17 Booth Sludge.xlsx,WASTE MANAGEMENT,General,,xlsx,Readable,2023-08-03T16:56:27Z,10.8,1,False,True,False,True,,
8.2.2.18 Empty.xlsx,8.2.2.18,8.2.2.18 Empty.xlsx,WASTE MANAGEMENT,General,,xlsx,Readable,2023-08-03T16:56:38Z,10.8,1,False,True,False,True,,
8.2.2.19 Still Bottoms.xlsx,8.2.2.19,8.2.2.19 Still Bottoms.xlsx,WASTE MANAGEMENT,General,,xlsx,Readable,2023-08-03T16:57:02Z,10.8,1,False,True,False,True,,
8.2.2.20 Waste Paint.xlsx,8.2.2.20,8.2.2.20 Waste Paint.xlsx,WASTE MANAGEMENT,General,,xlsx,Readable,2023-08-03T16:57:26Z,10.8,1,False,True,False,True,,
8.2.2.21 Waste Zinc.xlsx,8.2.2.21,8.2.2.21 Waste Zinc.xlsx,WASTE MANAGEMENT,General,,xlsx,Readable,2023-08-03T16:57:38Z,10.9,1,False,True,False,True,,
8.2.2.22 Use Next.xlsx,8.2.2.22,8.2.2.22 Use Next.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2023-08-10T14:48:21Z,10.9,1,False,True,False,True,,
8.2.2.23 Paint Mix Information Sheet.xlsx,8.2.2.23,8.2.2.23 Paint Mix Information Sheet.xlsx,LAB / CHEMISTRY,General,,xlsx,Readable,2023-12-20T17:58:42Z,23.1,1,False,True,False,True,,
8.2.2.24 Pressure Pot Label.xlsx,8.2.2.24,8.2.2.24 Pressure Pot Label.xlsx,PROCESS CONTROL,General,,xlsx,Readable,2023-08-17T15:09:18Z,12.7,2,False,True,False,True,,
8.2.2.25 Solvent Usage Tracking.xlsx,8.2.2.25,8.2.2.25 Solvent Usage Tracking.xlsx,LAB / CHEMISTRY,General,,xlsx,Readable,2023-10-31T15:28:45Z,20.7,1,False,True,False,True,,
8.2.2.26 New Paint Batch Verification.xlsx,8.2.2.26,8.2.2.26 New Paint Batch Verification.xlsx,LAB / CHEMISTRY,General,,xlsx,Readable,2024-06-28T15:35:42Z,23.8,1,False,True,False,False,,
8.2.2.27 Template.xlsx,8.2.2.27,8.2.2.27 Template.xlsx,None/Reference,General,,xlsx,Readable,2024-01-05T14:18:51Z,18.8,1,False,True,False,True,,
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,8.2.2.28 Down time Tracking Template.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2024-01-05T20:02:11Z,100.1,12,False,True,False,True,,
8.2.2.29 Daily Production Report Template.xlsx,8.2.2.29,8.2.2.29 Daily Production Report Template.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2024-01-05T21:17:55Z,20.5,2,False,True,False,True,,
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,8.2.2.30 Buffing Summary Template.xlsx,POST-PAINT OPERATIONS,General,,xlsx,Readable,2024-01-22T18:01:47Z,173.2,15,False,True,False,True,,
8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,8.2.2.31,8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2024-11-13T13:42:00Z,18.6,2,False,True,False,False,,
8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,8.2.2.32,8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,MAINTENANCE / PM,General,,xlsx,Readable,2025-05-12T19:09:47Z,18.3,1,False,True,False,False,,
8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,8.2.2.33,8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,NCR / DISPOSITION,General,,xlsx,Readable,2025-12-16T12:25:44Z,17.7,1,False,True,False,False,,
8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,8.2.2.34,8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,MAINTENANCE / PM,General,,xlsx,Readable,2025-11-10T18:58:32Z,56.6,2,False,True,False,False,,
8.2.2.5 Paint Kitchen Inventory.xlsx,8.2.2.5,8.2.2.5 Paint Kitchen Inventory.xlsx,LAB / CHEMISTRY,General,,xlsx,Readable,2025-01-17T15:01:29Z,65.8,3,False,True,False,False,,
8.2.2.6 Change Tracker.xlsx,8.2.2.6,8.2.2.6 Change Tracker.xlsx,DOCUMENT CONTROL,General,,xlsx,Readable,2023-06-27T11:45:21Z,41.4,3,False,True,False,True,,
8.2.2.7 Daily Sanding Tally Sheet.xlsx,8.2.2.7,8.2.2.7 Daily Sanding Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2026-02-05T17:59:10Z,18.3,2,False,True,False,False,,
8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8,8.2.2.8 Daily Buffing Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2026-02-05T17:54:30Z,28.0,3,False,True,False,False,,
8.2.2.9 Daily Deburring Tally Sheet.xlsx,8.2.2.9,8.2.2.9 Daily Deburring Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2023-07-24T18:46:39Z,18.0,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1.1,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2024-10-16T20:24:14Z,47.3,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1.10,8.2.2.1.10 Daily Painter Line Up.xlsx,SCHEDULING / LABOR,Line 101-103,,xlsx,Readable,2024-10-31T13:25:22Z,3288.4,1,False,False,True,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.11 103 Schedule Template.xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-11-04T20:38:38Z,92.4,11,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.16 Oven Verification Log.xls,8.2.2.1.16,8.2.2.1.16 Oven Verification Log.xls,PROCESS CONTROL,Line 101-103,,xls,Readable,2016-12-16T15:27:18Z,137.5,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.18 Daily Paint Tally Sheet.xls,8.2.2.1.18,8.2.2.1.18 Daily Paint Tally Sheet.xls,PRODUCTION TRACKING,Line 101-103,,xls,Readable,2024-03-15T15:56:13Z,213.5,2,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1.19,8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:09:19Z,16.0,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.2 Paint Kitchen Temp Log.xls,8.2.2.1.2,8.2.2.1.2 Paint Kitchen Temp Log.xls,LAB / CHEMISTRY,Line 101-103,,xls,Readable,2016-12-16T14:02:41Z,146.5,3,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1.20,8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:09:36Z,16.7,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,8.2.2.1.3,8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2023-09-18T14:26:37Z,17.6,1,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,8.2.2.1.4,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:05:19Z,18.8,2,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-08-07T17:41:02Z,21.0,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.6 101 Schedule Template.xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-12-12T16:27:42Z,93.1,11,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.7 Daily Painter Schedule.xlsx,8.2.2.1.7,8.2.2.1.7 Daily Painter Schedule.xlsx,SCHEDULING / LABOR,Line 101-103,,xlsx,Readable,2024-11-06T10:33:32Z,21.2,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.9 Daily Down Time.xlsx,8.2.2.1.9,8.2.2.1.9 Daily Down Time.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2023-06-27T11:45:39Z,40.8,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/101-103 Rack burn off schedule.xlsx,,101-103 Rack burn off schedule.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2022-08-03T19:53:31Z,73.4,4,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/101-103 Schedule Template.xlsx,,101-103 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-06-09T16:52:04Z,133.3,11,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1.1,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-09-07T15:23:59Z,46.3,1,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1.10,8.2.2.1.10 Daily Painter Line Up.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-10-31T14:30:19Z,3294.6,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template (Ver 2).xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template (Ver 2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-06-04T20:19:25Z,122.5,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template.xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-03-04T19:19:49Z,130.0,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet (V2).xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet (V2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-05-22T20:22:56Z,22.0,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet- Ver 1.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet- Ver 1.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2025-01-31T13:33:11Z,22.6,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-04-26T19:19:32Z,21.9,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-11-29T11:08:00Z,21.2,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 2).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-05-22T12:22:04Z,130.2,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 3).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 3).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-06-04T20:04:01Z,122.6,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 4).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 4).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2025-05-30T19:24:16Z,127.2,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template.xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-01-07T16:17:03Z,130.4,11,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.2.43 Truck Load Sheet.xls,8.2.2.2.43,8.2.2.2.43 Truck Load Sheet.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2023-02-20T15:28:30Z,66.0,3,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.3.2 Load Sheet.xlsx,8.2.2.3.2,8.2.2.3.2 Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-05-17T15:48:33Z,20.6,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/Old Copy of 101-103 Weekly Burn Off Tracker.pdf,,Old Copy of 101-103 Weekly Burn Off Tracker.pdf,DOCUMENT CONTROL,Line 101-103,,pdf,Readable,2023-07-18T17:22:09Z,290.1,0,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xls,8.2.2.1.4,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2020-08-24T12:42:21Z,76.5,3,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/8.2.2.1.5 Daily Paint Booth Cleaning Schedule.xls,8.2.2.1.5,8.2.2.1.5 Daily Paint Booth Cleaning Schedule.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2016-10-07T13:35:54Z,68.0,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/Night Shift Cleaning.xlsx,,Night Shift Cleaning.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-06-14T18:40:21Z,17.9,3,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.1 102 Line Paint Production Tracking.xlsx,8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2024-06-25T12:14:23Z,23.3,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.10 102 Maintenance Log.xlsx,8.2.2.2.10,8.2.2.2.10 102 Maintenance Log.xlsx,MAINTENANCE / PM,Line 102,,xlsx,Readable,2025-12-10T14:37:08Z,18.2,2,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.17 Approved Tag Tracking.xlsx,8.2.2.2.17,8.2.2.2.17 Approved Tag Tracking.xlsx,PACKAGING / SHIPPING,Line 102,,xlsx,Readable,2018-11-30T19:28:52Z,3297.3,2,False,False,True,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.3 102 Line Paint Schedule Template.xlsx,8.2.2.2.3,8.2.2.2.3 102 Line Paint Schedule Template.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2025-03-25T17:20:14Z,104.9,9,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,8.2.2.2.4,8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2024-01-08T20:30:21Z,24.1,1,False,True,False,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.6 Line 102 Programs.xlsx,8.2.2.2.6,8.2.2.2.6 Line 102 Programs.xlsx,PROCESS CONTROL,Line 102,,xlsx,Readable,2025-10-17T14:25:35Z,13.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.7 102 Line Operating Form.xlsm,8.2.2.2.7,8.2.2.2.7 102 Line Operating Form.xlsm,PROCESS CONTROL,Line 102,,xlsm,Readable,2025-01-07T18:50:05Z,52.5,4,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,8.2.2.2.8,8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,MAINTENANCE / PM,Line 102,,xlsx,Readable,2025-12-10T14:24:21Z,16.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.9 102 TPM Checklist.xlsx,8.2.2.2.9,8.2.2.2.9 102 TPM Checklist.xlsx,PROCESS CONTROL,Line 102,,xlsx,Readable,2025-12-10T14:31:59Z,15.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/Obsolete/102 Line Loaded Parts Tracking Test File.xlsx,,102 Line Loaded Parts Tracking Test File.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2021-09-28T12:09:09Z,31.3,2,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/102 Line Paint Schedule Template.xlsx,,102 Line Paint Schedule Template.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2023-04-21T14:21:16Z,100.5,9,True,False,False,True,,
